"File exported from UTC Confirmations Portal on December 14, 2018, 14:00 EST"

Supplier Code:,0000164499
Supplier Name:,TRIPLE INC
User Email:,pkarchner@tripleinc.com
* Date Format MM/DD/YYYY

** INSTRUCTIONS:,"Please only edit Columns K-M below ""row 12"". All columns must be present and do not duplicate or delete columns. Only ""rows 10"" and above may be removed. Additional columns will be ignored as long as they don't duplicate a required column header. Naming of the column header row cannot be modified. The ordering of columns is flexible. When importing your file back into the Confirmations screen, please make sure all cells have a value matching the exported format. Date format can be MM/DD/YYYY, MM/DD/YY, M/D/YY."
** REASON CODES:,Capacity Issue,Import/ Export Control,Input Material (Vendor Supplied),Machine Down Time,Producibility Technical,Quality,Supplier Other,Natural Disaster,Commercial Issues  (Ex: PO terms/pricing),UTC Supplied Input Material,UTC Receiving/ Shipping,UTC Schedule under lead time / change,UTC Transportation / Logistics,UTC Engineering,UTC Other

PRIORITY,PRODUCT_ID,OPEN_QTY,ORDER_ID,ITEM_ID,SCH_LINE,LOCATION,REQ_DATE,OTD_DATE,COMMIT_STAT,COMMIT_DATE,REASON_CODE,COMMENTS
,1007048-7,130.0,0011085886,10,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,1007048-8,125.0,0011085900,40,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,1007048-8,110.0,0011085900,50,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
OVERDUE,738104-1,2.0,0011104123,10,1,2701,11/12/2018,01/07/2019,COMMITTED,01/07/2019,Supplier Other,Outside Process delays
,738104-1,1.0,0011104123,20,1,2701,01/16/2019,01/16/2019,COMMITTED,01/16/2019,UTC Schedule under lead time / change,
LATE,1017507-1-LOP050,1.0,0009706337,20,1,2719,01/28/2019,02/04/2019,COMMITTED,02/04/2019,Quality,
,1007048-5,24.0,0011085868,30,1,2719,11/01/2019,12/31/2025,CHANGED,11/01/2019,UTC Schedule under lead time / change,
,1007048-5,148.0,0011085868,40,1,2719,08/01/2019,08/01/2019,COMMITTED,08/01/2019,,
,1007048-5,150.0,0011085868,50,1,2719,11/01/2019,12/31/2025,CHANGED,11/01/2019,,
,1007048-5,132.0,0011085868,70,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,1007048-5,150.0,0011085868,60,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,1007048-5,31.0,0011085868,10,1,2719,08/01/2019,08/01/2019,COMMITTED,08/01/2019,UTC Schedule under lead time / change,
,572963,14.0,0011098294,10,1,2702,03/13/2019,03/13/2019,COMMITTED,03/13/2019,,
,784793-4,2.0,0010653191,30,1,2702,07/31/2020,07/31/2020,COMMITTED,07/31/2020,UTC Schedule under lead time / change,
,784793-4,1.0,0010653191,20,1,2702,10/03/2019,10/03/2019,COMMITTED,10/03/2019,UTC Schedule under lead time / change,
,784793-4,3.0,0010653191,10,1,2702,09/05/2019,09/05/2019,COMMITTED,09/05/2019,UTC Schedule under lead time / change,
,1007048-3,66.0,0011085841,40,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,1007048-3,75.0,0011085841,30,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,1007048-3,65.0,0011085841,20,1,2719,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
OVERDUE,1018544-3,25.0,0011135252,10,1,2701,11/14/2018,12/15/2018,COMMITTED,12/15/2018,UTC Schedule under lead time / change,ULT Order Placement
OVERDUE,1018544-3,25.0,0011135252,40,1,2701,11/29/2018,12/15/2018,COMMITTED,12/15/2018,UTC Schedule under lead time / change,ULT Order Placement
OVERDUE,1018544-3,25.0,0011135252,50,1,2701,12/06/2018,12/15/2018,COMMITTED,02/16/2019,UTC Schedule under lead time / change,ULT Order Placement
OVERDUE,1018544-3,25.0,0011135252,60,1,2701,12/12/2018,12/15/2018,COMMITTED,02/28/2019,UTC Schedule under lead time / change,ULT Order Placement
,819693-5,3.0,0011126404,60,1,2701,06/13/2019,06/13/2019,COMMITTED,06/13/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,50,1,2701,06/05/2019,06/05/2019,COMMITTED,06/05/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,40,1,2701,04/29/2019,04/29/2019,COMMITTED,04/29/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,30,1,2701,03/21/2019,03/21/2019,COMMITTED,03/21/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,20,1,2701,03/15/2019,03/15/2019,COMMITTED,03/15/2019,UTC Schedule under lead time / change,
,819693-5,4.0,0011126404,100,1,2701,09/26/2019,09/26/2019,COMMITTED,09/26/2019,UTC Schedule under lead time / change,
,819693-5,1.0,0011126404,10,1,2701,02/28/2019,02/28/2019,COMMITTED,02/28/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,70,1,2701,06/27/2019,06/27/2019,COMMITTED,06/27/2019,UTC Schedule under lead time / change,
,819693-5,5.0,0011126404,80,1,2701,07/18/2019,07/18/2019,COMMITTED,07/18/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,90,1,2701,09/05/2019,09/05/2019,COMMITTED,09/05/2019,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,130,1,2701,01/02/2020,01/02/2020,COMMITTED,01/02/2020,UTC Schedule under lead time / change,
,819693-5,3.0,0011126404,110,1,2701,10/24/2019,10/24/2019,COMMITTED,10/24/2019,UTC Schedule under lead time / change,
,819693-5,5.0,0011126404,120,1,2701,11/14/2019,11/14/2019,COMMITTED,11/14/2019,UTC Schedule under lead time / change,
,753387-4,1.0,0011120696,10,1,2700,06/17/2019,06/17/2019,COMMITTED,06/17/2019,UTC Schedule under lead time / change,
,753387-4,2.0,0011120696,20,1,2700,08/12/2019,08/12/2019,COMMITTED,08/12/2019,UTC Schedule under lead time / change,
,753387-4,2.0,0011120696,30,1,2700,12/31/2022,12/31/2022,COMMITTED,12/31/2022,UTC Schedule under lead time / change,
,811128-2,10.0,0011132712,10,1,2710,12/29/2018,12/29/2018,COMMITTED,12/29/2018,UTC Schedule under lead time / change,
OVERDUE,744235-2,3.0,0011123214,10,1,2700,12/12/2018,12/12/2018,COMMITTED,01/16/2019,Supplier Other,Outside Process delays
LATE,744235-2,3.0,0011123214,20,1,2700,12/19/2018,12/19/2018,COMMITTED,01/16/2019,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,30,1,2700,02/13/2019,02/13/2019,COMMITTED,02/13/2019,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,40,1,2700,09/24/2019,09/24/2019,COMMITTED,09/24/2019,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,50,1,2700,11/20/2019,11/20/2019,COMMITTED,11/20/2019,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,60,1,2700,03/25/2020,03/25/2020,COMMITTED,03/25/2020,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,70,1,2700,05/22/2020,05/22/2020,COMMITTED,05/22/2020,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,110,1,2700,05/25/2021,05/25/2021,COMMITTED,05/25/2021,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,80,1,2700,09/23/2020,09/23/2020,COMMITTED,09/23/2020,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,90,1,2700,11/23/2020,11/23/2020,COMMITTED,11/23/2020,UTC Schedule under lead time / change,
,744235-2,3.0,0011123214,100,1,2700,03/24/2021,03/24/2021,COMMITTED,03/24/2021,UTC Schedule under lead time / change,
,1722380,7.0,H117214A,1490,2018,2719,01/28/2019,01/28/2019,COMMITTED,01/28/2019,,
,1722380,7.0,H117214A,1490,2478,2719,03/11/2019,03/11/2019,COMMITTED,03/11/2019,,
,1722380,7.0,H117214A,1490,2326,2719,02/25/2019,02/25/2019,COMMITTED,02/25/2019,,
,1722380,7.0,H117214A,1490,2172,2719,02/11/2019,02/11/2019,COMMITTED,02/11/2019,,
,1722380,8.0,H117214A,1490,1860,2719,01/14/2019,01/14/2019,COMMITTED,01/14/2019,,
,798843-1,1.0,H117214A,1520,3726,2701,06/13/2019,06/13/2019,COMMITTED,06/13/2019,,
,798843-1,1.0,H117214A,1520,3725,2701,06/06/2019,06/06/2019,COMMITTED,06/06/2019,,
,798843-1,1.0,H117214A,1520,3724,2701,05/30/2019,05/30/2019,COMMITTED,05/30/2019,,
,798843-1,1.0,H117214A,1520,3723,2701,05/15/2019,05/15/2019,COMMITTED,05/15/2019,,
,798843-1,1.0,H117214A,1520,3722,2701,05/09/2019,05/09/2019,COMMITTED,05/09/2019,,
,1017362-1,2.0,H117214A,1470,4506,2719,02/22/2019,02/22/2019,COMMITTED,02/22/2019,,
,1017362-1,8.0,H117214A,1470,4226,2719,02/08/2019,02/08/2019,COMMITTED,02/08/2019,UTC Schedule under lead time / change,
,1017362-1,6.0,H117214A,1470,4843,2719,03/22/2019,03/22/2019,COMMITTED,03/22/2019,,
,1017362-1,12.0,H117214A,1470,4842,2719,03/29/2019,03/29/2019,COMMITTED,03/29/2019,,
,1017362-1,6.0,H117214A,1470,4841,2719,04/11/2019,04/11/2019,COMMITTED,04/11/2019,,
,1017362-1,6.0,H117214A,1470,4840,2719,04/18/2019,04/18/2019,COMMITTED,04/18/2019,,
,1017362-1,6.0,H117214A,1470,4839,2719,04/26/2019,04/26/2019,COMMITTED,04/26/2019,,
,1017362-1,6.0,H117214A,1470,4838,2719,05/03/2019,05/03/2019,UNCOMMITTED,05/03/2019,,
,1017362-1,6.0,H117214A,1470,4723,2719,03/08/2019,03/08/2019,COMMITTED,03/08/2019,,
,1722380,8.0,H117214A,1490,2543,2719,04/29/2019,04/29/2019,COMMITTED,04/29/2019,,
,1722380,8.0,H117214A,1490,2542,2719,04/12/2019,04/12/2019,COMMITTED,04/12/2019,,
,1722380,10.0,H117214A,1490,2541,2719,03/25/2019,03/25/2019,COMMITTED,03/25/2019,,
,1017362-1,6.0,H117214A,1470,4722,2719,03/15/2019,03/15/2019,COMMITTED,03/15/2019,,
,1017362-1,8.0,H117214A,1470,4604,2719,03/01/2019,03/01/2019,COMMITTED,03/01/2019,,
,1017362-1,8.0,H117214A,1470,4348,2719,02/15/2019,02/15/2019,COMMITTED,02/15/2019,UTC Schedule under lead time / change,
,1013078-1,8.0,H117214A,1420,1806,2701,01/16/2019,01/16/2019,COMMITTED,01/16/2019,UTC Schedule under lead time / change,
,1013078-1,8.0,H117214A,1420,1805,2701,01/02/2019,01/02/2019,COMMITTED,01/02/2019,UTC Schedule under lead time / change,FALL OUT IN LAST LOT
OVERDUE,1013078-1,15.0,H117214A,1420,1804,2701,12/05/2018,12/17/2018,COMMITTED,01/02/2019,UTC Schedule under lead time / change,FALL OUT IN LAST LOT
OVERDUE,1013078-1,14.0,H117214A,1420,1803,2701,11/07/2018,01/02/2019,COMMITTED,01/02/2019,UTC Schedule under lead time / change,FALL OUT IN LAST LOT
OVERDUE,1013078-1,4.0,H117214A,1420,1702,2701,10/17/2018,01/02/2019,COMMITTED,01/02/2019,Supplier Other,FALL OUT IN LAST LOT
OVERDUE,1013078-1,8.0,H117214A,1420,1596,2701,10/03/2018,01/02/2019,COMMITTED,01/02/2019,Supplier Other,FALL OUT IN LAST LOT
OVERDUE,1013078-1,8.0,H117214A,1420,1490,2701,09/19/2018,01/02/2019,COMMITTED,01/02/2019,Supplier Other,FALL OUT IN LAST LOT
,1028052-1,4.0,H117214A,1410,2994,2701,06/20/2019,06/20/2019,UNCOMMITTED,06/20/2019,,
,1028052-1,5.0,H117214A,1410,2992,2701,06/14/2019,06/14/2019,COMMITTED,06/14/2019,,
,1028806-1,3.0,H117214A,1400,253,2701,02/19/2019,02/19/2019,COMMITTED,02/19/2019,,
,1028806-1,1.0,H117214A,1400,252,2701,02/19/2019,02/19/2019,COMMITTED,02/19/2019,UTC Schedule under lead time / change,
,1028806-1,1.0,H117214A,1400,251,2701,02/19/2019,02/19/2019,COMMITTED,02/19/2019,UTC Schedule under lead time / change,
,1028806-1,1.0,H117214A,1400,250,2701,02/18/2019,02/18/2019,COMMITTED,02/18/2019,,
,1028806-1,1.0,H117214A,1400,249,2701,02/12/2019,02/12/2019,COMMITTED,02/12/2019,,
,1028052-1,6.0,H117214A,1410,2867,2701,05/31/2019,05/31/2019,COMMITTED,05/31/2019,UTC Schedule under lead time / change,
,1028052-1,8.0,H117214A,1410,2812,2701,05/10/2019,05/10/2019,COMMITTED,05/10/2019,UTC Schedule under lead time / change,
,1028052-1,7.0,H117214A,1410,2713,2701,04/26/2019,04/26/2019,COMMITTED,04/26/2019,UTC Schedule under lead time / change,
,1028052-1,8.0,H117214A,1410,2612,2701,04/11/2019,04/11/2019,COMMITTED,04/11/2019,UTC Schedule under lead time / change,
,1028052-1,7.0,H117214A,1410,2509,2701,03/22/2019,03/22/2019,COMMITTED,03/22/2019,UTC Schedule under lead time / change,
,1028052-1,3.0,H117214A,1410,2419,2701,03/15/2019,03/15/2019,COMMITTED,03/15/2019,UTC Schedule under lead time / change,
,1028052-1,4.0,H117214A,1410,2415,2701,03/08/2019,03/08/2019,COMMITTED,03/08/2019,UTC Schedule under lead time / change,
,1028052-1,4.0,H117214A,1410,2385,2701,02/22/2019,02/22/2019,COMMITTED,02/22/2019,UTC Schedule under lead time / change,
,1028052-1,3.0,H117214A,1410,2354,2701,03/01/2019,03/01/2019,COMMITTED,03/01/2019,UTC Schedule under lead time / change,
,1028806-1,1.0,H117214A,1400,281,2701,04/09/2019,04/09/2019,UNCOMMITTED,04/09/2019,,
,1013078-1,8.0,H117214A,1420,1807,2701,01/30/2019,01/30/2019,COMMITTED,01/30/2019,UTC Schedule under lead time / change,
,1001268-1,2.0,H117214A,1460,965,2701,04/10/2019,04/10/2019,COMMITTED,04/10/2019,,
LATE,1001268-1,1.0,H117214A,1460,629,2701,01/10/2019,01/10/2019,COMMITTED,02/01/2019,Supplier Other,parts scrapped at outside vendor
LATE,1001268-1,1.0,H117214A,1460,598,2701,01/10/2019,01/10/2019,COMMITTED,02/01/2019,UTC Schedule under lead time / change,
LATE,1001268-1,1.0,H117214A,1460,597,2701,01/03/2019,01/10/2019,COMMITTED,02/01/2019,Supplier Other,parts scrapped by outside vendor
,1001268-1,2.0,H117214A,1460,966,2701,04/03/2019,04/03/2019,COMMITTED,04/03/2019,,
,798843-1,1.0,H117214A,1520,3349,2701,03/14/2019,03/14/2019,COMMITTED,03/14/2019,UTC Schedule under lead time / change,
,1001268-1,2.0,H117214A,1460,933,2701,03/14/2019,03/14/2019,COMMITTED,03/14/2019,,
,1001268-1,1.0,H117214A,1460,906,2701,03/07/2019,03/07/2019,COMMITTED,03/07/2019,,
,1001268-1,1.0,H117214A,1460,850,2701,02/21/2019,02/21/2019,COMMITTED,02/21/2019,,
,1001268-1,1.0,H117214A,1460,788,2701,02/07/2019,02/07/2019,COMMITTED,02/07/2019,,
,798843-1,1.0,H117214A,1520,3547,2701,05/02/2019,05/02/2019,COMMITTED,05/02/2019,UTC Schedule under lead time / change,
,798843-1,1.0,H117214A,1520,3460,2701,04/10/2019,04/10/2019,COMMITTED,04/10/2019,,
,798843-1,4.0,H117214A,1520,3405,2701,02/14/2019,02/14/2019,COMMITTED,02/14/2019,UTC Schedule under lead time / change,
,798843-1,1.0,H117214A,1520,3404,2701,04/03/2019,04/03/2019,COMMITTED,04/03/2019,,
,798843-1,1.0,H117214A,1520,3403,2701,04/03/2019,04/03/2019,COMMITTED,04/03/2019,UTC Schedule under lead time / change,
,1013078-1,19.0,H117214A,1420,2254,2701,05/08/2019,05/08/2019,COMMITTED,05/08/2019,,
,1013078-1,12.0,H117214A,1420,2167,2701,04/24/2019,04/24/2019,COMMITTED,04/24/2019,,
,1013078-1,17.0,H117214A,1420,2034,2701,04/03/2019,04/03/2019,COMMITTED,04/03/2019,,
,1013078-1,12.0,H117214A,1420,1942,2701,03/20/2019,03/20/2019,COMMITTED,03/20/2019,,
,1013078-1,13.0,H117214A,1420,1854,2701,03/06/2019,03/06/2019,COMMITTED,03/06/2019,,
,1013078-1,14.0,H117214A,1420,1808,2701,02/13/2019,02/13/2019,COMMITTED,02/13/2019,UTC Schedule under lead time / change,
,1013078-1,11.0,H117214A,1420,2343,2701,07/02/2019,07/02/2019,COMMITTED,07/02/2019,,
,1013078-1,18.0,H117214A,1420,2342,2701,06/12/2019,06/12/2019,COMMITTED,06/12/2019,,
,1013078-1,12.0,H117214A,1420,2341,2701,05/29/2019,05/29/2019,COMMITTED,05/29/2019,,
,798665-1,1.0,H117214A,510,1308,2701,03/15/2019,03/15/2019,COMMITTED,03/15/2019,UTC Schedule under lead time / change,
OVERDUE,798796-1,1.0,H117214A,540,103,2701,11/20/2018,12/14/2018,COMMITTED,12/14/2018,Supplier Other,Outside Process delays
,798795-1,1.0,H117214A,530,86,2701,03/20/2019,03/20/2019,COMMITTED,03/20/2019,UTC Schedule under lead time / change,
OVERDUE,798796-1,3.0,H117214A,540,106,2701,11/20/2018,12/14/2018,COMMITTED,12/14/2018,Supplier Other,Outside Process delays
,753387-1,1.0,H117214A,260,1146,2700,08/28/2019,08/28/2019,COMMITTED,08/28/2019,UTC Schedule under lead time / change,
,753387-1,4.0,H117214A,260,1147,2700,08/21/2019,08/21/2019,COMMITTED,08/21/2019,UTC Schedule under lead time / change,
,753387-1,1.0,H117214A,260,1148,2700,08/21/2019,08/21/2019,COMMITTED,08/21/2019,UTC Schedule under lead time / change,
,753387-1,1.0,H117214A,260,1199,2700,09/18/2019,09/18/2019,COMMITTED,09/18/2019,UTC Schedule under lead time / change,
,1007826-1,1.0,H117214A,1160,3889,2701,02/21/2019,02/21/2019,COMMITTED,02/21/2019,Supplier Other,Single Source for HVOF Coating
,817176-101,3.0,H117214A,1560,2237,2701,09/23/2020,09/23/2020,COMMITTED,09/23/2020,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,3604,2701,07/22/2019,07/22/2019,COMMITTED,07/22/2019,,
,801044-1,1.0,H117214A,1550,3602,2701,07/29/2019,07/29/2019,COMMITTED,07/29/2019,,
,801044-1,1.0,H117214A,1550,3597,2701,08/12/2019,08/12/2019,COMMITTED,08/12/2019,,
,801044-1,1.0,H117214A,1550,3596,2701,08/19/2019,08/19/2019,UNCOMMITTED,08/19/2019,,
,798643-1,1.0,H117214A,500,1132,2701,05/16/2019,05/16/2019,COMMITTED,05/16/2019,,
,1007826-1,4.0,H117214A,1160,2919,2701,05/22/2019,05/22/2019,COMMITTED,05/22/2019,,
,1007826-1,8.0,H117214A,1160,2920,2701,05/09/2019,05/09/2019,COMMITTED,05/09/2019,,
,1007826-1,4.0,H117214A,1160,2921,2701,05/02/2019,05/02/2019,COMMITTED,05/02/2019,,
,1007826-1,4.0,H117214A,1160,2922,2701,04/17/2019,04/17/2019,COMMITTED,04/17/2019,,
,1007826-1,4.0,H117214A,1160,2923,2701,04/10/2019,04/10/2019,COMMITTED,04/10/2019,,
,1007826-1,8.0,H117214A,1160,2924,2701,03/28/2019,03/28/2019,COMMITTED,03/28/2019,,
,1007826-1,5.0,H117214A,1160,2925,2701,03/21/2019,03/21/2019,COMMITTED,03/21/2019,,
,1007826-1,5.0,H117214A,1160,2926,2701,03/14/2019,03/14/2019,COMMITTED,03/14/2019,,
,1007826-1,5.0,H117214A,1160,2927,2701,02/28/2019,02/28/2019,COMMITTED,02/28/2019,,
OVERDUE,1007826-1,3.0,H117214A,1160,2928,2701,12/06/2018,02/21/2019,COMMITTED,02/21/2019,Supplier Other,Single Source for HVOF Coating
OVERDUE,1007826-1,4.0,H117214A,1160,2929,2701,12/06/2018,01/24/2019,COMMITTED,02/21/2019,Supplier Other,Single Source for HVOF Coating
OVERDUE,1007826-1,4.0,H117214A,1160,2930,2701,12/11/2018,01/03/2019,COMMITTED,02/21/2019,Supplier Other,Single Source for HVOF Coating
OVERDUE,1007826-1,4.0,H117214A,1160,2931,2701,12/11/2018,12/18/2018,COMMITTED,02/21/2019,Supplier Other,Single Source for HVOF Coating
LATE,1007826-1,12.0,H117214A,1160,2932,2701,12/18/2018,01/03/2019,COMMITTED,02/21/2019,Supplier Other,Single Source for HVOF Coating
,1007826-1,2.0,H117214A,1160,3040,2701,08/21/2019,08/21/2019,COMMITTED,08/21/2019,,
,1007826-1,2.0,H117214A,1160,3121,2701,08/28/2019,08/28/2019,COMMITTED,08/28/2019,,
,1007826-1,3.0,H117214A,1160,3349,2701,09/19/2019,09/19/2019,COMMITTED,09/19/2019,,
,1007826-1,2.0,H117214A,1160,3499,2701,10/03/2019,10/03/2019,COMMITTED,10/03/2019,,
,1003205-1,9.0,H117214A,1150,5430,2701,12/23/2019,12/23/2019,COMMITTED,12/23/2019,,
,1003205-1,10.0,H117214A,1150,5432,2701,11/19/2019,11/19/2019,COMMITTED,11/19/2019,UTC Schedule under lead time / change,
,1003205-1,6.0,H117214A,1150,5433,2701,11/12/2019,11/12/2019,COMMITTED,11/12/2019,UTC Schedule under lead time / change,
,1003205-1,6.0,H117214A,1150,5434,2701,11/07/2019,11/07/2019,COMMITTED,11/07/2019,UTC Schedule under lead time / change,
,1007826-1,4.0,H117214A,1160,2961,2701,07/25/2019,07/25/2019,COMMITTED,07/25/2019,,
,1007826-1,4.0,H117214A,1160,2962,2701,07/18/2019,07/18/2019,COMMITTED,07/18/2019,,
,1007826-1,4.0,H117214A,1160,2963,2701,07/03/2019,07/03/2019,COMMITTED,07/03/2019,,
,1007826-1,5.0,H117214A,1160,2964,2701,06/26/2019,06/26/2019,COMMITTED,06/26/2019,,
,1007826-1,6.0,H117214A,1160,2965,2701,06/13/2019,06/13/2019,COMMITTED,06/13/2019,,
,1007826-1,5.0,H117214A,1160,3416,2701,09/26/2019,09/26/2019,COMMITTED,09/26/2019,,
,1007826-1,3.0,H117214A,1160,3666,2701,10/17/2019,10/17/2019,COMMITTED,10/17/2019,,
,1007826-1,5.0,H117214A,1160,3738,2701,10/24/2019,10/24/2019,COMMITTED,10/24/2019,,
,1007826-1,4.0,H117214A,1160,3809,2701,10/24/2019,10/24/2019,COMMITTED,10/24/2019,UTC Schedule under lead time / change,
,1007826-1,10.0,H117214A,1160,3810,2701,11/07/2019,11/07/2019,COMMITTED,11/07/2019,,
,1007826-1,2.0,H117214A,1160,2960,2701,08/01/2019,08/01/2019,COMMITTED,08/01/2019,,
,1003205-1,4.0,H117214A,1150,5517,2701,11/12/2019,11/12/2019,COMMITTED,11/12/2019,UTC Schedule under lead time / change,
,1003205-1,15.0,H117214A,1150,5518,2701,12/11/2019,12/11/2019,COMMITTED,12/11/2019,,
,1007826-1,4.0,H117214A,1160,2942,2701,06/06/2019,06/06/2019,COMMITTED,06/06/2019,,
,1007826-1,2.0,H117214A,1160,2959,2701,08/08/2019,08/08/2019,COMMITTED,08/08/2019,,
,592274-1,29.0,H117214A,1500,480,2702,05/02/2019,05/02/2019,COMMITTED,05/02/2019,UTC Schedule under lead time / change,
,592274-1,23.0,H117214A,1500,529,2702,01/25/2019,01/25/2019,COMMITTED,01/25/2019,UTC Schedule under lead time / change,
,592274-1,23.0,H117214A,1500,528,2702,07/08/2019,07/08/2019,COMMITTED,07/08/2019,UTC Schedule under lead time / change,
,592274-1,26.0,H117214A,1500,527,2702,07/26/2019,07/26/2019,COMMITTED,07/26/2019,UTC Schedule under lead time / change,
,592274-1,8.0,H117214A,1500,476,2702,01/25/2019,01/25/2019,COMMITTED,01/25/2019,UTC Schedule under lead time / change,ult pull in /Transition
,592274-1,37.0,H117214A,1500,457,2702,02/19/2019,02/19/2019,COMMITTED,02/19/2019,UTC Schedule under lead time / change,
,592274-1,1.0,H117214A,1500,420,2702,02/19/2019,02/19/2019,COMMITTED,02/19/2019,UTC Schedule under lead time / change,
,592274-1,14.0,H117214A,1500,481,2702,03/28/2019,03/28/2019,COMMITTED,03/28/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1540,2,2710,12/30/2018,12/30/2018,COMMITTED,12/30/2018,,
,801044-1,1.0,H117214A,1550,2529,2701,03/04/2019,03/04/2019,COMMITTED,03/04/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2528,2701,03/18/2019,03/18/2019,COMMITTED,03/18/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2527,2701,02/25/2019,02/25/2019,COMMITTED,02/25/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2526,2701,04/01/2019,04/01/2019,COMMITTED,04/01/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2525,2701,04/22/2019,04/22/2019,COMMITTED,04/22/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2524,2701,03/25/2019,03/25/2019,COMMITTED,03/25/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2523,2701,04/29/2019,04/29/2019,COMMITTED,04/29/2019,UTC Schedule under lead time / change,
,801044-1,1.0,H117214A,1550,2522,2701,04/29/2019,04/29/2019,COMMITTED,04/29/2019,UTC Schedule under lead time / change,
